Code (Data),Stand-alone mental health legislation,Stand-alone policy or plan for mental health,Year (Data),Year (Sizing),Comet Size
UGA,Yes,Yes,1/1/2014,2014-01-01,1
UKR,No data,No data,1/1/2014,2014-01-01,1
URY,Yes,Yes,1/1/2014,2014-01-01,1
USA,No,No,1/1/2014,2014-01-01,1
UZB,Yes,Yes,1/1/2014,2014-01-01,1
VCT,Yes,No,1/1/2014,2014-01-01,1
VEN,No data,No data,1/1/2014,2014-01-01,1
VIR,No data,No data,1/1/2014,2014-01-01,1
VNM,No,Yes,1/1/2014,2014-01-01,1
VUT,No,No,1/1/2014,2014-01-01,1
WSM,Yes,Yes,1/1/2014,2014-01-01,1
YEM,No,Yes,1/1/2014,2014-01-01,1
ZAF,Yes,Yes,1/1/2014,2014-01-01,1
ZMB,Yes,Yes,1/1/2014,2014-01-01,1
ZWE,Yes,Yes,1/1/2014,2014-01-01,1
